animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,name_norm,Class_Number,Number_Of_Animal_Species_In_Class,Class_Type,Animal_Names,animal_name_aux,habitat,diet,conservation_status,conservation,habitats,status,diet_type,is_endangered,diet_complexity
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1,hamster,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,hare,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,hawk,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,herring,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6,honeybee,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,housefly,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,kiwi,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,ladybird,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,lark,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,leopard,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,lion,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,lobster,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,lynx,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,mink,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,mole,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,mongoose,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,moth,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,newt,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,octopus,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,opossum,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,oryx,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2,ostrich,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,parakeet,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,penguin,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,pheasant,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,pike,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,piranha,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,pitviper,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1,platypus,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,polecat,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,pony,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,porpoise,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,puma,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,pussycat,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,raccoon,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,reindeer,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2,rhea,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7,scorpion,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,seahorse,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,seal,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1,sealion,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,seasnake,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7,seawasp,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,skimmer,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,skua,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,slowworm,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,slug,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,sole,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,sparrow,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1,squirrel,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7,starfish,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4,stingray,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2,swan,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,termite,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5,toad,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3,tortoise,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,tuatara,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,tuna,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,vampire,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,vole,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2,vulture,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1,wallaby,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6,wasp,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,wolf,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,worm,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,wren,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0
